iter	Passed	Remaining
425	2974	4007
426	2979	3998
427	2985	3989
428	2991	3981
429	2997	3972
430	3003	3964
431	3008	3955
432	3013	3946
433	3019	3938
434	3025	3929
435	3031	3920
436	3036	3912
437	3042	3903
438	3047	3894
439	3053	3885
440	3058	3876
441	3064	3868
442	3069	3859
443	3074	3850
444	3080	3841
445	3086	3833
446	3091	3824
447	3097	3816
448	3102	3807
449	3107	3798
450	3113	3790
451	3120	3783
452	3127	3776
453	3139	3775
454	3150	3773
455	3160	3769
456	3169	3765
457	3179	3763
458	3188	3758
459	3199	3756
460	3210	3753
461	3218	3748
462	3229	3745
463	3236	3738
464	3244	3732
465	3252	3727
466	3261	3721
467	3273	3720
468	3283	3717
469	3289	3709
470	3296	3702
471	3303	3695
472	3311	3689
473	3318	3682
474	3325	3675
475	3330	3666
476	3336	3657
477	3342	3649
478	3347	3641
479	3353	3633
480	3359	3625
481	3365	3617
482	3371	3608
483	3377	3600
484	3383	3592
485	3389	3584
486	3395	3576
487	3400	3568
488	3406	3559
489	3411	3551
490	3417	3542
491	3425	3536
492	3430	3528
493	3436	3519
494	3442	3512
495	3448	3503
496	3454	3495
497	3459	3487
498	3465	3478
499	3471	3471
500	3476	3462
501	3482	3454
502	3488	3446
503	3494	3438
504	3499	3430
505	3505	3422
506	3511	3414
507	3517	3406
508	3522	3397
509	3527	3389
510	3533	3380
511	3538	3373
512	3544	3364
513	3550	3357
514	3557	3349
515	3562	3341
516	3568	3334
517	3574	3325
518	3579	3317
519	3585	3309
520	3590	3301
521	3596	3293
522	3602	3285
523	3607	3277
524	3613	3269
525	3619	3261
526	3625	3253
527	3630	3245
528	3636	3237
529	3641	3229
530	3648	3222
531	3653	3214
532	3660	3207
533	3666	3199
534	3672	3191
535	3677	3183
536	3683	3176
537	3689	3168
538	3695	3160
539	3700	3152
540	3705	3144
541	3711	3136
542	3719	3130
543	3725	3122
544	3731	3115
545	3737	3107
546	3743	3099
547	3749	3092
548	3754	3084
549	3760	3077
550	3768	3071
551	3774	3063
552	3782	3057
553	3789	3050
554	3795	3043
555	3802	3036
556	3808	3028
557	3814	3021
558	3820	3013
559	3826	3006
560	3832	2998
561	3837	2991
562	3844	2983
563	3850	2976
564	3855	2968
565	3861	2960
566	3867	2953
567	3873	2945
568	3879	2938
569	3885	2930
570	3891	2923
571	3900	2918
572	3906	2911
573	3914	2905
574	3922	2899
575	3928	2891
576	3933	2883
577	3938	2875
578	3944	2868
579	3949	2860
580	3955	2852
581	3961	2845
582	3967	2837
583	3973	2830
584	3979	2823
585	3985	2815
586	3992	2809
587	3999	2802
588	4005	2794
589	4010	2787
590	4016	2779
591	4022	2771
592	4027	2764
593	4032	2756
594	4038	2748
595	4044	2741
596	4050	2734
597	4057	2727
598	4062	2719
599	4068	2712
600	4073	2704
601	4079	2697
602	4084	2689
603	4090	2681
604	4095	2674
605	4101	2666
606	4107	2659
607	4112	2651
608	4119	2644
609	4124	2636
610	4129	2629
611	4134	2621
612	4141	2614
613	4147	2607
614	4152	2599
615	4157	2591
616	4163	2584
617	4169	2577
618	4175	2569
619	4181	2562
620	4188	2556
621	4193	2548
622	4200	2541
623	4207	2535
624	4214	2528
625	4220	2521
626	4226	2514
627	4232	2507
628	4241	2501
629	4248	2495
630	4257	2489
631	4264	2483
632	4272	2476
633	4281	2471
634	4288	2465
635	4295	2458
636	4302	2451
637	4310	2445
638	4316	2438
639	4321	2431
640	4328	2424
641	4334	2416
642	4339	2409
643	4346	2402
644	4355	2396
645	4361	2390
646	4370	2384
647	4377	2377
648	4383	2370
649	4388	2362
650	4394	2356
651	4400	2348
652	4407	2342
653	4413	2334
654	4418	2327
655	4423	2319
656	4429	2312
657	4435	2305
658	4441	2298
659	4447	2290
660	4452	2283
661	4458	2276
662	4463	2268
663	4469	2261
664	4474	2254
665	4480	2246
666	4485	2239
667	4491	2232
668	4497	2225
669	4502	2217
670	4509	2211
671	4515	2204
672	4523	2197
673	4529	2190
674	4534	2183
675	4540	2175
676	4545	2168
677	4553	2162
678	4560	2155
679	4569	2150
680	4577	2144
681	4585	2137
682	4591	2131
683	4598	2124
684	4607	2118
685	4614	2111
686	4619	2104
687	4627	2098
688	4634	2091
689	4641	2085
690	4647	2078
691	4653	2071
692	4659	2064
693	4666	2057
694	4678	2053
695	4686	2046
696	4694	2040
697	4700	2033
698	4707	2027
699	4716	2021
700	4722	2014
701	4729	2007
702	4737	2001
703	4745	1995
704	4750	1987
705	4757	1981
706	4765	1974
707	4771	1968
708	4778	1961
709	4785	1954
710	4793	1948
711	4800	1941
712	4808	1935
713	4816	1929
714	4822	1922
715	4830	1915
716	4837	1909
717	4845	1903
718	4852	1896
719	4859	1889
720	4867	1883
721	4873	1876
722	4882	1870
723	4890	1864
724	4898	1858
725	4905	1851
726	4914	1845
727	4923	1839
728	4931	1833
729	4943	1828
730	4953	1822
731	4959	1815
732	4968	1809
733	4976	1803
734	4984	1797
735	4990	1790
736	4997	1783
737	5003	1776
738	5010	1769
739	5016	1762
740	5022	1755
741	5029	1748
742	5035	1741
743	5042	1734
744	5048	1727
745	5055	1721
746	5063	1714
747	5069	1707
748	5076	1701
749	5082	1694
750	5088	1687
751	5094	1680
752	5100	1673
753	5106	1666
754	5112	1658
755	5119	1652
756	5124	1645
757	5130	1638
758	5136	1630
759	5142	1624
760	5151	1617
761	5158	1611
762	5166	1604
763	5173	1598
764	5182	1592
765	5189	1585
766	5198	1579
767	5205	1572
768	5213	1566
769	5221	1559
770	5228	1552
771	5236	1546
772	5242	1539
773	5248	1532
774	5255	1525
775	5262	1519
776	5268	1511
777	5274	1505
778	5280	1498
779	5286	1491
780	5292	1483
781	5298	1476
782	5304	1470
783	5309	1462
784	5315	1455
785	5321	1448
786	5327	1441
787	5333	1434
788	5338	1427
789	5345	1420
790	5351	1413
791	5356	1406
792	5362	1399
793	5367	1392
794	5373	1385
795	5379	1378
796	5385	1371
797	5390	1364
798	5397	1357
799	5402	1350
800	5407	1343
801	5413	1336
802	5419	1329
803	5425	1322
804	5431	1315
805	5436	1308
806	5442	1301
807	5448	1294
808	5454	1287
809	5459	1280
810	5465	1273
811	5471	1266
812	5477	1259
813	5483	1252
814	5489	1246
815	5494	1238
816	5500	1231
817	5505	1225
818	5511	1218
819	5517	1211
820	5523	1204
821	5528	1197
822	5533	1189
823	5538	1183
824	5544	1176
825	5550	1169
826	5556	1162
827	5561	1155
828	5567	1148
829	5572	1141
830	5578	1134
831	5583	1127
832	5589	1120
833	5595	1113
834	5601	1106
835	5607	1100
836	5613	1093
837	5618	1086
838	5624	1079
839	5630	1072
840	5637	1065
841	5642	1058
842	5648	1051
843	5654	1045
844	5660	1038
845	5666	1031
846	5672	1024
847	5678	1017
848	5684	1010
849	5689	1004
850	5695	997
851	5701	990
852	5706	983
853	5712	976
854	5717	969
855	5723	962
856	5728	955
857	5734	949
858	5740	942
859	5746	935
860	5752	928
861	5758	921
862	5764	915
863	5769	908
864	5776	901
865	5781	894
866	5787	887
867	5793	881
868	5799	874
869	5806	867
870	5812	860
871	5817	853
872	5823	847
873	5829	840
874	5834	833
875	5840	826
876	5846	819
