iter	MultiClass
278	0.2284863412
279	0.2283870315
280	0.2282885399
281	0.2282070877
282	0.2281101431
283	0.2280055137
284	0.2278811952
285	0.227777887
286	0.2276731892
287	0.2275942338
288	0.2275140113
289	0.2273957216
290	0.2273067537
291	0.227219054
292	0.227148547
293	0.2270882824
294	0.2269744699
295	0.2268893578
296	0.2267740515
297	0.226698934
298	0.226611355
299	0.2265404492
300	0.2264236765
301	0.2263424265
302	0.2262359782
303	0.2261569175
304	0.2260705547
305	0.2259904317
306	0.2259400278
307	0.2258626382
308	0.2257865847
309	0.225731027
310	0.2256716961
311	0.2255742365
312	0.2255003647
313	0.2254270474
314	0.2253536403
315	0.2252483426
316	0.2251517374
317	0.2250806721
318	0.2250105815
319	0.2249532934
320	0.2248760071
321	0.224799563
322	0.2247449511
323	0.2246693125
324	0.2246101284
325	0.2245630269
326	0.2245166168
327	0.2244604682
328	0.2243943953
329	0.2243292256
330	0.2242741237
331	0.2242197324
332	0.2241559768
333	0.2241072241
334	0.2240593174
335	0.224009728
336	0.2239612818
337	0.223915409
338	0.2238658506
339	0.2238061032
340	0.2237566112
341	0.22341	0.244342	0.22342	0.244343	0.22343	0.244344	0.2235009565
345	0.2345	0.2441346	0.2233694687
347	0.2233091939
348	0.2348	0.2439349	0.2231827727
350	0.2350	0.2438351	0.2351	0.2437352	0.2352	0.243353	0.22353	0.243676169
354	0.2436277933
355	0.2435827997
356	0.243357	0.22357	0.24358	0.222358	0.24359	0.222359	0.24360	0.222360	0.2433089717
361	0.2432607104
362	0.2363	0.2223363	0.2431295888
364	0.2365	0.2222365	0.2430297689
366	0.2429691895
367	0.2429277504
368	0.2428653887
369	0.2428060593
370	0.2427451528
371	0.2426988278
372	0.2426546066
373	0.2426144206
374	0.242569128
375	0.2425014446
376	0.2424467565
377	0.242407777
378	0.2423647143
379	0.2423066447
380	0.2422512371
381	0.2422079645
382	0.2421468299
383	0.2421096786
384	0.2420728425
385	0.242002458
386	0.2419608347
387	0.2419101356
388	0.2418508637
389	0.2418118333
390	0.2417712845
391	0.2417332814
392	0.2416742711
393	0.2416242646
394	0.2415772327
395	0.2415316917
396	0.2414769894
397	0.2414322956
398	0.241379533
399	0.2413458863
400	0.2413087361
401	0.2412709432
402	0.2412301954
403	0.2411930191
404	0.2411568646
405	0.2411102536
406	0.2410545124
407	0.2410183045
408	0.2409855751
409	0.2409389191
410	0.240893807
411	0.240837025
412	0.2408053407
413	0.2407706836
414	0.2407379982
415	0.2406876652
416	0.2406453359
417	0.240596154
418	0.2405481168
419	0.2405159599
420	0.240484383
421	0.2404510835
422	0.2404069642
423	0.2403709291
424	0.2403382615
425	0.2403094376
426	0.2402787512
427	0.2402393646
428	0.2402076375
429	0.2401757724
430	0.2401289042
431	0.240077403
432	0.2400450261
433	0.2400143422
434	0.2399827615
435	0.2399437246
436	0.239913562
437	0.2398866958
438	0.2398569292
439	0.2398297456
440	0.2398003947
441	0.2397724334
442	0.239734958
443	0.2396909833
444	0.2396465095
445	0.2396135684
446	0.2395770544
447	0.2395429938
448	0.2395149488
449	0.2394717546
450	0.239443961
451	0.2394163828
452	0.2393742994
453	0.2393458048
454	0.2393184807
455	0.2392829643
456	0.2392560249
457	0.2392304999
458	0.2392039175
459	0.2391759353
460	0.239141501
461	0.2391075752
462	0.2390659876
463	0.2390421642
464	0.2390188296
465	0.2389933772
466	0.2389702934
467	0.2389303541
468	0.2389059883
469	0.2388832965
470	0.2388607386
471	0.2388232065
472	0.2387838612
473	0.2387431681
474	0.2387154963
475	0.2386934599
476	0.2386693311
477	0.2386381166
478	0.2386103417
479	0.2385866392
480	0.238563683
481	0.2385421015
482	0.2385193733
483	0.2384961411
484	0.2384730598
485	0.2384506672
486	0.2384297135
487	0.2383911073
488	0.2383613857
489	0.2383388494
490	0.2383164586
491	0.2382867529
492	0.2382573212
493	0.238230614
494	0.2382103255
495	0.2381873988
496	0.2381656063
497	0.2381439504
498	0.2381152694
499	0.2380879784
500	0.238051433
501	0.2380161809
502	0.2379805994
503	0.2379571286
504	0.2379248984
505	0.2378970079
506	0.2378765225
507	0.237857471
508	0.2378385233
509	0.2378179861
510	0.237799219
511	0.2377723784
512	0.2377345728
513	0.2377144081
514	0.2376943679
515	0.2376744504
516	0.237654654
517	0.2376364703
518	0.2376099015
519	0.2375903721
520	0.2375569639
521	0.2375250581
522	0.2375067836
523	0.237487555
524	0.2374684441
525	0.2374494493
526	0.2374174635
527	0.2373915129
528	0.2373737373
529	0.2373488074
530	0.2373302273
531	0.2373117474
532	0.2372864874
533	0.2372681678
534	0.2372499547
535	0.237231847
536	0.2372104984
537	0.2371851845
538	0.2371573837
539	0.2371406321
540	0.2371154665
541	0.2370922701
542	0.2370758466
543	0.2370548028
544	0.2370373884
545	0.2370195324
546	0.2370033651
547	0.2369796793
548	0.2369636646
549	0.2369465613
550	0.2369170098
551	0.2368903677
552	0.2368734664
553	0.2368566582
554	0.236839942
555	0.2368232219
556	0.236807691
557	0.2367782667
558	0.2367626161
559	0.2367425585
560	0.2367137244
561	0.2366909727
562	0.2366747131
563	0.2366529471
564	0.2366368577
565	0.2366203437
566	0.2366053805
567	0.2365894855
568	0.2365746477
569	0.236558746
570	0.2365425004
571	0.2365276697
572	0.2365006077
573	0.2364796108
574	0.2364604162
575	0.2364450036
576	0.2364260463
577	0.2364115565
578	0.236397292
579	0.2363829801
580	0.2363625063
581	0.2363474583
582	0.2363318899
583	0.2363132332
584	0.2362983516
585	0.2362844297
586	0.2362696708
587	0.2362427337
588	0.2362195318
589	0.2362049926
590	0.2361853375
591	0.2361658142
592	0.2361432096
593	0.2361289548
594	0.2361147702
595	0.2361006552
596	0.2360872779
597	0.2360732736
598	0.236053201
599	0.2360364899
600	0.236017684
601	0.2360050419
602	0.2359913315
603	0.2359788061
604	0.2359657505
605	0.2359522038
606	0.2359337955
607	0.2359161608
608	0.2359027606
609	0.2358845789
610	0.2358593144
611	0.2358460633
612	0.2358280978
613	0.2358149654
614	0.2357904382
615	0.2357778521
616	0.2357650389
617	0.2357520792
618	0.2357391815
619	0.2357174077
620	0.2357046547
621	0.235677828
622	0.2356651622
623	0.235652263
624	0.2356359738
625	0.2356160551
626	0.2356039303
627	0.23558769
628	0.235575665
629	0.2355632808
630	0.2355493082
631	0.2355298869
632	0.2355152516
633	0.2355034058
634	0.2354912767
635	0.2354788019
636	0.2354623469
637	0.2354392102
638	0.2354203838
639	0.2354081029
640	0.2353962293
641	0.2353776915
642	0.235355277
643	0.2353435234
644	0.2353257215
645	0.2353084944
646	0.2352968543
647	0.2352841067
648	0.2352683403
649	0.2352527476
650	0.2352401513
651	0.2352290694
652	0.2352176617
653	0.2352059021
654	0.235188144
655	0.2351768802
656	0.2351656671
657	0.2351546658
658	0.235142353
659	0.2351271593
660	0.2351161035
661	0.2351039249
662	0.2350929485
663	0.2350718447
664	0.235054673
665	0.2350376496
666	0.235023487
667	0.2350079775
668	0.2349985406
669	0.2349818089
670	0.234965219
671	0.2349545916
672	0.2349440331
673	0.2349276581
674	0.234913418
675	0.2349025188
676	0.2348929108
677	0.2348825258
678	0.2348729876
679	0.2348626745
680	0.2348519423
681	0.2348415566
682	0.2348300457
683	0.2348198227
684	0.2347996344
685	0.2347895065
686	0.2347794234
687	0.2347693114
688	0.2347592416
689	0.2347472505
690	0.234737263
691	0.2347193504
692	0.2347034944
693	0.2346936213
694	0.2346837911
695	0.2346683886
696	0.2346526465
697	0.2346393957
698	0.2346296113
699	0.2346198297
700	0.2346101155
701	0.2346004397
702	0.2345908724
703	0.2345812587
704	0.2345716825
705	0.2345575405
706	0.2345480898
707	0.2345333149
708	0.234514766
709	0.2344982981
710	0.2344896308
711	0.2344767422
712	0.2344674064
713	0.2344581065
714	0.2344459312
715	0.23442723
716	0.2344090125
717	0.2343995818
718	0.2343903964
719	0.2343703444
720	0.2343612029
721	0.2343477755
722	0.2343301808
723	0.2343191062
724	0.2343100495
725	0.2343010689
726	0.2342886432
727	0.2342797359
728	0.2342708681
729	0.2342567871
730	0.2342445452
731	0.2342357057
732	0.2342269021
733	0.2342181338
734	0.2342094482
735	0.2341955618
736	0.2341868885
737	0.2341777143
738	0.2341657878
739	0.2341572209
740	0.2341474939
741	0.2341389467
742	0.2341304543
743	0.2341226024
744	0.2341092348
745	0.2341005879
746	0.2340921888
747	0.2340837834
748	0.2340754096
749	0.2340651921
750	0.2340557021
751	0.2340474077
752	0.2340378405
753	0.2340295963
754	0.2340213699
755	0.2340099422
756	0.2339968521
757	0.2339887132
758	0.2339805787
759	0.233967598
760	0.2339583522
761	0.2339509031
762	0.2339339585
763	0.2339212162
764	0.2339044737
765	0.2338965129
766	0.2338885762
767	0.2338772561
768	0.2338693519
769	0.2338614754
770	0.2338452487
771	0.2338327078
772	0.2338217711
773	0.2338040204
774	0.2337960855
775	0.2337852792
776	0.2337757495
777	0.2337675613
778	0.2337598808
779	0.2337488879
780	0.2337412316
781	0.2337306021
782	0.2337226858
783	0.2337105278
784	0.233698454
785	0.2336909181
786	0.2336834081
787	0.2336764751
788	0.2336610125
789	0.2336541097
790	0.2336466775
791	0.2336310155
792	0.2336206327
793	0.233610299
794	0.2335999749
795	0.233592631
796	0.2335777556
797	0.2335709893
798	0.2335617625
799	0.2335544406
800	0.2335471477
801	0.2335394379
802	0.2335295342
803	0.2335194703
804	0.2335122496
805	0.2335040656
806	0.2334890939
807	0.2334819475
808	0.2334720422
809	0.2334649445
810	0.2334507778
811	0.2334409431
812	0.2334336089
813	0.233423849
814	0.2334168343
815	0.2334056318
816	0.2333986597
817	0.233388787
818	0.2333818451
819	0.233374931
820	0.2333611532
821	0.2333484829
822	0.2333411701
823	0.23333019
824	0.2333229388
825	0.233309908
826	0.2333027661
827	0.2332908806
828	0.2332840859
829	0.233274725
830	0.2332639902
831	0.2332572751
832	0.2332496098
833	0.2332425347
834	0.2332354869
835	0.2332254014
836	0.2332162751
837	0.2332087141
838	0.2332017594
839	0.2331911147
840	0.2331836371
841	0.233174009
842	0.2331671349
843	0.2331606551
844	0.2331540167
845	0.2331475772
846	0.2331411586
847	0.2331347608
848	0.2331288585
849	0.2331220966
850	0.2331157496
851	0.2331069521
852	0.233099657
853	0.23309336
854	0.2330846343
855	0.2330788491
856	0.2330688616
857	0.2330612079
858	0.2330554699
859	0.2330423504
860	0.2330357637
861	0.2330291992
862	0.2330230439
863	0.2330166561
864	0.2330105387
865	0.2330048924
866	0.2329949751
867	0.2329879077
868	0.2329818536
869	0.2329758185
870	0.2329698023
871	0.2329633712
872	0.2329573861
873	0.2329490212
874	0.2329394677
875	0.2329299772
876	0.232920549
877	0.2329143936
878	0.2329085147
879	0.2328987352
880	0.2328923519
881	0.2328839337
882	0.2328779354
883	0.2328698222
884	0.2328644424
885	0.2328518201
886	0.2328460399
887	0.2328402773
888	0.2328324006
889	0.2328266648
890	0.2328213718
891	0.2328156666
892	0.2328081636
893	0.2327986442
894	0.2327929806
895	0.2327873337
896	0.2327763261
897	0.2327702759
898	0.2327624208
899	0.2327568244
900	0.2327510633
901	0.2327390272
902	0.232733292
903	0.2327281453
904	0.2327221866
905	0.2327170554
906	0.2327113736
907	0.2327058696
908	0.2327007785
909	0.2326948858
910	0.2326891361
911	0.2326836874
912	0.2326744982
913	0.232669077
914	0.2326632516
915	0.2326519872
916	0.2326464379
917	0.2326414452
918	0.23263331
919	0.2326246803
920	0.2326193502
921	0.2326140355
922	0.2326091139
923	0.2326035578
924	0.2325919787
925	0.2325867093
926	0.2325810338
927	0.2325720709
928	0.2325658315
929	0.2325604375
930	0.2325550615
931	0.2325477162
932	0.2325421184
933	0.2325373094
934	0.2325303557
935	0.2325230799
936	0.23251477
937	0.2325096447
938	0.2325043594
939	0.2324992578
940	0.2324920786
941	0.2324873683
942	0.2324823036
943	0.232475178
944	0.2324670478
945	0.232462023
946	0.2324534176
947	0.2324463799
948	0.2324412036
949	0.2324362219
950	0.232431071
951	0.232424094
952	0.2324191456
953	0.2324106756
954	0.2324051642
955	0.2323985469
956	0.2323926279
957	0.232387321
958	0.2323812261
959	0.2323753415
960	0.2323674988
961	0.2323622428
962	0.2323573934
963	0.2323521612
964	0.2323453855
965	0.2323405683
966	0.2323338294
967	0.2323288002
968	0.2323199283
969	0.2323149658
970	0.2323082861
971	0.2323006555
972	0.2322962635
973	0.2322918844
974	0.2322861488
975	0.2322814299
976	0.2322733478
977	0.2322667784
978	0.2322609535
979	0.2322558953
980	0.2322493767
981	0.2322447172
982	0.2322372945
983	0.2322299152
984	0.2322249208
985	0.2322199406
986	0.2322140863
987	0.2322067928
988	0.2322004201
989	0.2321958463
990	0.2321912844
991	0.2321863703
992	0.2321818281
993	0.2321770795
994	0.2321707784
995	0.2321666162
996	0.2321618807
997	0.2321547578
998	0.2321485248
999	0.2321440473
6698257
